NumberOfFollowings,NumberOfFollowers,NumberOfTweets,LengthOfScreenName,LengthOfDescriptionInUserProfile,BadUser
4,1296,219,11,57,0
77,85,917,8,0,0
62,185,7595,7,31,0
40,46,167,6,0,0
318,277,1096,6,100,0
110,116,145,12,63,0
41,30,282,6,0,0
185,27,169,8,0,0
69,15,112,12,0,0
31,17,323,10,0,0
41,83,899,13,0,0
105,841,1512,15,84,0
794,1251,7719,13,100,0
20,33,511,13,20,0
164,222,1379,8,0,0
150,25,89,10,0,0
1094,1050,4543,7,35,0
1021,7105,494,8,11,0
193,105,1227,10,0,0
209,342,14435,5,26,0
1932,861,1299,8,45,0
369,479,3267,11,34,0
91,785,17622,11,49,0
1808,1729,1066,15,159,0
77,51,285,15,32,0
150,196,4435,13,23,0
227,262,385,7,33,0
230,1133,17489,11,40,0
49,31,738,6,0,0
1238,1375,3508,11,0,0
48,60,4736,7,32,0
55,59,3133,9,122,0
65,52,208,5,0,0
1839,1073,5427,13,134,0
116,40,588,9,135,0
159,508,8534,9,119,0
4846,4404,7352,13,51,0
125,797,3263,10,0,0
80,82,96,12,156,0
292,581,4656,13,141,0
376,335,2230,10,42,0
101,132,3132,9,0,0
46,32,435,9,0,0
149,232,7547,11,58,0
72,78,3250,9,30,0
45,57,498,13,0,0
2624,2385,4669,8,75,0
39,154,3932,9,154,0
31,65,734,10,0,0
185,57,1284,7,40,0
39,30,148,10,0,0
206,247,78,7,88,0
472,624,7043,15,65,0
107,125,2065,11,21,0
44,30,324,13,0,0
62,61,232,8,0,0
199,50,189,10,0,0
48,25,875,15,35,0
203,275,6643,15,86,0
244,110,2935,14,0,0
304,167,1052,6,18,0
591,359,8501,12,157,0
204,50,510,6,120,0
22332,20503,6924,7,86,0
16,11,238,8,68,0
485,167,2731,7,49,0
25,68,1187,6,0,0
46,18,174,14,75,0
132,2645,1758,12,0,0
81,79,2286,9,30,0
27,51,1263,8,102,0
125,97,1908,7,16,0
85,476,699,10,41,0
49,45,763,15,0,0
56,7,5,9,0,0
267,164,2475,13,34,0
175,135,3562,6,118,0
20,27,45,10,0,0
318,336,2293,7,160,0
202,46,1140,8,0,0
13,25,137,7,0,0
0,122,890,13,76,0
341,600,9409,11,71,0
201,309,5632,7,127,0
88,72,742,13,43,0
87,135,1148,13,91,0
50,22,2024,11,20,0
38,64,1263,11,20,0
28,15,56,7,0,0
169,325,4956,11,91,0
74,46,53,11,0,0
27,44,1203,8,96,0
88,90,1663,9,77,0
21,435,4875,12,40,0
47,127,2107,10,130,0
59,54,948,12,43,0
284,1465,4561,7,20,0
58,127,7724,7,0,0
99,732,269,12,75,0
111,216,3724,12,59,0
56,33,240,7,0,0
146,180,934,15,90,0
44,33,382,9,0,0
142,87,260,13,0,0
320,208,1950,13,63,0
0,1,2,8,0,0
28,8,436,10,0,0
161,21,256,7,144,0
305,152,1005,8,71,0
46,14,861,10,0,0
3292,3096,830,8,131,0
567,718,5699,10,128,0
7,0,1,10,0,0
50,76,660,6,73,0
43,43,660,8,0,0
121,28,87,12,0,0
83,37,608,8,158,0
4,326,9149,11,26,0
15,31,125,14,61,0
151,19,13,13,55,0
951,751,1979,10,138,0
20,20,182,12,0,0
1306,3687,11398,9,160,0
37,267,5770,14,0,0
49,134,3773,14,28,0
12,13,66,10,0,0
17,26,346,14,55,0
14,19,580,7,23,0
61,57,1195,11,0,0
2234,3827,10665,12,115,0
0,2,4,14,0,0
15,111,37,10,138,0
10,8,95,11,39,0
310,362,17580,11,123,0
36,20,262,7,0,0
27,14,673,13,18,0
110,43,618,7,67,0
44,42,1083,9,29,0
9,2,9,7,0,0
38,47,142,15,0,0
457,351,487,11,61,0
59,22,321,8,25,0
10850,10279,5574,13,29,0
283,243,5805,15,26,0
66,842,18613,15,112,0
44,56,627,11,83,0
93,111,1321,10,91,0
98,181,4451,6,158,0
2869,2849,35504,12,8,0
124,101,6094,10,0,0
444,417,2624,8,159,0
68,47,878,10,84,0
104,14069,1934,10,77,0
0,0,4,9,0,0
137,89,1330,11,71,0
30,44,2845,9,0,0
186,284,6010,13,23,0
214,124,6737,8,136,0
19,3,18,12,0,0
0,36,1427,7,0,0
52,45,447,15,48,0
190,611,9318,5,66,0
36,320,7565,13,77,0
76,25,944,11,0,0
85,43,2635,6,0,0
18,12,376,12,38,0
455,389,2912,13,35,0
636,578,2254,13,77,0
40,49,721,9,0,0
1,10629,3712,13,42,0
119,87,118,12,0,0
134,141,1053,7,56,0
256,74,691,11,46,0
2,41,628,12,31,0
20,112,187,11,85,0
62,57,591,15,86,0
48,12,87,8,0,0
1262,1621,2160,13,137,0
116,80,397,6,0,0
65,55,343,14,0,0
576,62,414,12,106,0
11,9,15,6,0,0
375,215,1406,9,54,0
86,83,511,8,12,0
62,200,3650,15,0,0
123,23,35,7,0,0
73,41,613,11,34,0
98,32,94,14,0,0
47,33,612,14,0,0
136,171,5959,8,25,0
706,693,10639,5,139,0
197,82,250,11,47,0
410,884,14008,9,127,0
98,60,212,10,54,0
1990,1418,427,10,153,0
67,32,229,15,0,0
92,63,242,14,0,0
115,180,4792,13,119,0
27,11,274,15,44,0
1290,953,1309,7,90,0
39,18,180,14,0,0
23,78,555,6,16,0
22,86,5061,7,34,0
35,6,6,9,0,0
2,2,52,8,0,0
8,7,283,5,68,0
24,37,246,5,71,0
46,51,1101,10,0,0
1738,1353,5503,13,0,0
73,76,1055,12,0,0
68,61,982,6,0,0
15,6657,2724,15,23,0
24,13,179,11,0,0
2,0,23,15,0,0
17,4,25,13,103,0
24,42,304,14,0,0
90,275,1329,15,133,0
2001,1450,2228,6,87,0
241,510,15459,9,152,0
26,29,244,10,0,0
8,23,29,8,0,0
416,27,75,15,142,0
0,87,704,5,95,0
20,22,731,7,0,0
147,60,199,15,30,0
1,0,13,11,0,0
322,2273,2108,11,25,0
1192,1016,86,14,119,0
27,56,1404,7,52,0
1370,1837,12090,8,138,0
385,384,4667,6,159,0
1142,1676,1368,14,137,0
55,53,1725,6,0,0
1,0,10,12,0,0
1549,1876,7921,12,79,0
77,85,3121,9,24,0
96,85,293,12,99,0
36,54,249,7,0,0
28,7,29,11,0,0
2,5,2215,13,39,0
7,7,202,9,0,0
142,178,2322,11,127,0
138,133,1068,8,110,0
30,7,59,13,0,0
35,15,4,12,0,0
41,64,1642,6,14,0
15,44,1536,6,30,0
80,2,76,10,0,0
793,749,12492,13,61,0
117,76,712,12,16,0
17,181,3659,13,133,0
189,1238,16667,8,122,0
20,370,883,6,0,0
3,1,3,11,0,0
173,79,262,15,77,0
25,25,502,8,14,0
64,16,61,6,0,0
22,16,269,9,48,0
30,41,733,10,0,0
26,42,717,9,0,0
53,127,1205,7,0,0
339,123,348,10,106,0
89,47,246,12,0,0
312,140,10,12,84,0
134,114,2749,11,90,0
745,516,1566,8,74,0
19,2,55,12,0,0
134,86,195,13,0,0
20,2,18,10,0,0
62,60,1843,8,0,0
4743,4318,17922,7,85,0
26,26,65,8,44,0
389,416,721,10,88,0
94,46,67,10,41,0
284,284,5340,7,127,0
90,77,1319,13,11,0
144,140,3479,9,100,0
74,185,4108,9,46,0
237,95,1573,10,17,0
191,71,716,10,126,0
3,987,10144,10,59,0
58,16,239,9,0,0
224,181,7672,15,99,0
77,57,681,9,31,0
74,57,294,11,139,0
364,416,5391,5,104,0
1,15,647,7,44,0
58,8,4,8,0,0
339,335,3402,10,94,0
117,193,4242,14,48,0
271,128,549,10,0,0
136,165,8131,10,40,0
333,399,382,10,57,0
140,129,1205,12,139,0
167,124,3566,8,113,0
568,725,7307,11,123,0
24,19,36,9,76,0
0,18,430,11,23,0
94,124,2214,13,57,0
55,90,1455,11,0,0
5,8,213,8,14,0
464,270,815,9,141,0
2000,1463,2362,8,112,0
35,35,181,9,66,0
80,108,4766,14,0,0
878,1225,8964,9,159,0
190,210,11887,14,116,0
25,40,651,10,0,0
22,30,199,8,56,0
5,122,13,11,156,0
51,39,249,11,0,0
551,458,10890,12,35,0
527,156,1118,13,39,0
301,174,1057,12,34,0
24,13,545,6,35,0
1394,1250,1193,12,32,0
76,88,2281,9,67,0
184,134,1221,7,92,0
121,148,1095,15,6,0
102,131,2368,10,152,0
113,56,536,10,0,0
274,256,181,12,40,0
21,13,2251,12,26,0
82,132,2506,7,48,0
209,388,482,10,50,0
14,12,6,15,0,0
1,0,2,9,0,0
470,630,1217,7,59,0
95,72,818,15,0,0
0,87,3991,15,65,0
81,50,967,10,46,0
41,10,9,8,0,0
941,1403,32854,8,56,0
118,56,1070,9,51,0
83,128,3282,7,18,0
25,15,215,13,0,0
76,144,3543,14,42,0
354,368,5911,10,0,0
20,1,9,8,79,0
1054,313,979,9,152,0
154,250,2071,11,78,0
198,204,3456,6,22,0
1084,690,6371,13,18,0
147,211,2883,12,124,0
12,8,77,6,33,0
683,1409,15785,13,56,0
0,164,7351,14,45,0
182,464,2303,14,0,0
49,50,1030,9,40,0
305,307,2681,9,21,0
42,50,3241,8,21,0
84,212,1679,9,33,0
8,41,182,15,115,0
41,60,1777,8,24,0
42,23,106,9,11,0
200,377,14304,10,8,0
57,176,5421,9,160,0
12,47,812,11,18,0
127,94,1210,11,43,0
69,51,291,11,49,0
137,363,6583,9,140,0
8,8,19,9,0,0
0,512,1237,10,12,0
47,56,1730,11,36,0
46,14,302,15,0,0
114,162,4882,7,40,0
8,6,41,8,0,0
100,134,872,12,0,0
153,52,425,5,56,0
37,49,3061,11,12,0
1350,1215,6350,14,77,0
190,208,7404,9,100,0
115,64,1036,11,21,0
7,56,7895,15,0,0
6,8,21,7,0,0
1565,1651,60224,7,27,0
49,40,558,10,33,0
1883,1253,615,12,20,0
41,151,533,12,26,0
49,310,1439,13,98,0
1,430,5104,11,72,0
62,74,1227,12,0,0
19,17,118,12,0,0
42,105,3737,9,0,0
1509,1994,9586,6,76,0
4,0,5,5,0,0
1358,877,2148,6,19,0
139,133,2332,7,67,0
7,28,151,15,29,0
90,42,66,6,0,0
47,57,1607,9,85,0
23,143,95,10,65,0
317,531,5723,14,154,0
73,139,1625,12,0,0
34,39,267,11,75,0
65,88,2456,11,83,0
659,1394,7840,11,145,0
316,4199,2016,15,124,0
87,158,2346,7,46,0
271,137,601,6,0,0
164,50,484,6,85,0
20,15,68,15,147,0
110,155,2212,14,39,0
350,488,2458,9,149,0
86,46,270,10,50,0
16,15,796,8,10,0
204,64,66,15,0,0
51,69,1342,11,0,0
7,1,167,5,13,0
20,17,199,14,0,0
24,22,39,8,0,0
12,14,675,10,22,0
11,12,68,5,0,0
78,72,1447,8,77,0
871,1120,2388,9,104,0
2605,2370,8277,15,55,0
152,125,1731,9,18,0
0,119,3433,14,112,0
76,102,371,13,160,0
117,93,8369,11,1,0
43,29,455,10,134,0
4,14,256,11,0,0
3,2,8,6,28,0
26,3,68,11,99,0
1005,947,6429,7,65,0
3,1,73,5,0,0
10,3,4,8,0,0
12,8,551,7,55,0
55,36,56,12,93,0
49,8,102,11,4,0
37,44,959,10,12,0
180,83,162,14,0,0
25,31,805,13,0,0
215,639,15540,11,53,0
0,47,6016,7,0,0
308,552,1200,15,138,0
43,26,83,7,69,0
18,13,71,8,36,0
1258,952,2424,13,0,0
6,6,1870,7,16,0
135,218,2471,9,0,0
658,456,2840,15,71,0
60,95,466,9,0,0
36,694,15344,8,58,0
2925,2811,4743,14,151,0
660,681,2439,14,55,0
62,76,280,11,12,0
34,25,969,7,33,0
38,15,75,8,0,0
91,208,4361,13,22,0
169,400,6378,9,47,0
0,102787,1355,14,43,0
3602,3488,479,15,150,0
112,163,2078,9,0,0
52,31,44,9,33,0
120,93,774,9,63,0
49,292,2332,14,31,0
41,44,204,7,0,0
202,141,3158,7,115,0
95,87,482,14,12,0
1079,1053,363,9,107,0
161,170,2303,11,23,0
820,1228,15696,12,81,0
13,32,776,9,97,0
171,84,833,7,0,0
3,7,127,13,63,0
21,14,50,15,159,0
97,368,6142,7,40,0
20,19,123,12,24,0
279,62,215,14,42,0
0,89,400,9,0,0
148,148,202,11,92,0
23,66,38,8,131,0
40,48,112,10,0,0
53,49,778,13,134,0
12,10,166,11,0,0
44,3,10,10,0,0
328,340,821,5,58,0
71,232,1490,12,0,0
102,151,3336,14,156,0
2,132,1788,8,0,0
5,10,911,13,0,0
254,250,789,8,30,0
86,43,85,11,0,0
133,173,1616,8,0,0
10,10,658,14,11,0
62,21,93,8,0,0
9601,9834,50624,8,94,0
45,16,195,10,61,0
45,36,612,10,27,0
157,168,4956,11,138,0
1032,686,714,15,157,0
993,989,6339,11,91,0
51,59,4850,4,18,0
207,187,2071,12,7,0
146,128,2206,7,52,0
20,405,4047,12,0,0
221,2557,1797,13,152,0
69,16,98,8,0,0
8873,9278,3658,9,109,0
54,55,737,8,70,0
82,67,80,4,39,0
463,1355,86126,6,8,0
141,164,476,7,1,0
11,5,24,9,0,0
23,5,20,8,0,0
176,124,4011,4,93,0
350,235,408,7,37,0
97,83,176,15,0,0
137,60,176,8,41,0
30,39,2156,5,29,0
155,165,2140,11,30,0
898,1024,2897,8,56,0
28,30,845,7,0,0
5,176,5005,9,29,0
19,7,20,8,26,0
10,23,128,6,5,0
53,53,1118,8,54,0
572,204,959,12,18,0
49,155,6220,10,0,0
267,163,8757,6,42,0
2,4,31,12,0,0
114,136,3313,9,60,0
28,45,385,10,75,0
88,87,475,10,56,0
1106,1093,2476,12,159,0
3,3,11,13,9,0
1932,3873,3175,14,90,0
89,44,999,13,73,0
109,21,312,7,0,0
30,8,267,10,58,0
41,44,420,10,157,0
0,157,2489,13,0,0
63,82,4097,7,78,0
86,134,493,9,23,0
93,460,928,9,40,0
184,247,581,12,61,0
262,154,4369,9,36,0
155,61,2422,7,48,0
0,134,604,14,0,0
1,3,44,12,0,0
14,16,163,10,0,0
1931,2764,2866,13,64,0
95,143,1631,7,100,0
25,18,10,14,0,0
3,0,16,8,0,0
24,563,178,15,82,0
273,116,1695,11,21,0
82,137,5188,9,26,0
68,60,2782,6,42,0
42,82,3061,4,0,0
56,7,55,9,0,0
149,102,1423,14,38,0
83,119,1345,15,111,0
266,248,5450,6,29,0
6,7,13,6,0,0
41,76,1816,7,40,0
31,40,500,9,25,0
29,42,189,12,0,0
81,219,810,13,57,0
145,286,6532,9,33,0
161,41,1329,13,91,0
17,17,983,10,5,0
357,137,1394,9,0,0
212,301,1604,10,24,0
117,119,212,6,51,0
39,65,174,15,126,0
101,927,2895,10,52,0
1036,1763,623,7,155,0
593,304,451,14,75,0
23,9,73,7,100,0
595,78,147,6,55,0
23,23,487,14,39,0
115,110,829,8,81,0
296,259,638,14,75,0
161,170,1839,11,0,0
615,1002,21126,11,25,0
40,11,239,7,0,0
80,349,641,15,156,0
14,18,349,13,0,0
8,10,11,12,0,0
83,100,419,6,54,0
101,107,4829,8,155,0
107,14,117,13,0,0
14,11,157,6,0,0
12,9,7,5,0,0
78,67,684,8,0,0
16,14,276,9,0,0
72,7,12,11,0,0
91,470,8632,12,103,0
4,6,7,6,13,0
83,72,551,12,0,0
43,37,104,9,105,0
11,97,9023,11,31,0
1001,1298,1320,12,99,0
0,0,1,14,0,0
126,137,966,13,0,0
104,135,1220,13,0,0
87,37,21,8,0,0
165,170,2304,14,73,0
38,34,3065,8,66,0
44,56,7543,11,32,0
90,87,861,11,11,0
84,86,16902,6,21,0
63,61,1259,13,88,0
77,110,2968,14,116,0
47,39,102,7,0,0
97,76,1186,12,4,0
20,3,1,10,0,0
616,796,15840,11,143,0
1,0,1,13,0,0
32,31,381,15,100,0
284,313,1828,14,58,0
334,350,970,9,157,0
245,44,193,14,74,0
114,67,212,9,18,0
1,21,117,14,0,0
55,31,316,7,93,0
1336,964,4096,7,51,0
616,250,3243,9,76,0
117,293,3843,12,78,0
166,143,5240,13,9,0
69,14,91,11,37,0
91,103,2126,6,11,0
31,73,618,9,0,0
109,104,755,9,56,0
1436,1645,34044,6,35,0
0,1,78,13,52,0
109,101,8878,7,1,0
103,72,880,11,0,0
124,116,988,4,53,0
18,25,473,12,49,0
66,2,1,14,0,0
853,8224,7063,13,116,0
39,40,6133,7,93,0
124,107,1154,8,82,0
22,3,33,10,0,0
142,107,6750,13,159,0
70,20,119,9,55,0
38,91,4232,9,0,0
50,25,81,10,0,0
42,35,946,14,89,0
201,23,527,13,67,0
438,1156,7398,7,117,0
86,81,3878,11,1,0
3160,3306,8036,10,81,0
76,92,498,10,90,0
91,64,301,7,158,0
86,71,854,9,0,0
421,139,249,15,0,0
4884,4996,11702,13,45,0
78,141,2862,14,42,0
13,13,78,8,22,0
0,118,5271,13,0,0
88,93,451,14,60,0
1,0,1,12,0,0
28,531,2441,14,94,0
162,362,7129,7,0,0
1072,922,9686,8,51,0
576,442,1202,9,19,0
90,91,1000,9,0,0
210,220,5616,11,0,0
1528,1225,7324,9,137,0
210,137,103,8,92,0
97,138,3338,8,22,0
74,111,6528,8,11,0
5,0,8,11,45,0
56,41,110,13,0,0
91,102,753,15,0,0
482,754,3337,9,117,0
26,28,611,8,0,0
156,241,4529,14,29,0
1507,1677,8279,10,155,0
286,284,383,12,139,0
190,251,2392,11,6,0
295,226,126,14,145,0
174,211,885,6,90,0
71,74,304,11,0,0
20,12,34,8,0,0
3943,3667,712,11,28,0
51,39,224,12,0,0
268,159,1607,6,65,0
35,43,611,10,0,0
66,317,4022,9,41,0
112,190,733,14,58,0
942,917,1256,11,0,0
35,11,145,9,120,0
52,36,194,9,0,0
19,15,711,6,12,0
9,313,2105,10,102,0
1,295,5349,8,22,0
567,877,11203,15,55,0
99,176,4599,13,80,0
189,269,12532,8,100,0
4082,4932,12571,14,116,0
82,34,90,8,0,0
160,91,4658,9,31,0
40,61,875,9,27,0
1976,1419,2013,15,48,0
2002,1192,1717,12,56,0
17,11,30,14,63,0
61,132,1481,11,37,0
92,87,6166,10,14,0
78,107,1162,8,15,0
38,13,10,11,0,0
186,531,6260,11,77,0
3,0,224,9,0,0
9,4,396,10,6,0
851,424,2853,15,0,0
135,153,2357,10,20,0
178,168,3970,13,0,0
6,7,1,13,0,0
2,4,17,10,0,0
0,0,1,10,37,0
161,69,176,10,134,0
5,2,4,10,160,0
5725,5419,3905,13,74,0
59,15,21,12,149,0
47,38,147,6,0,0
78,34,86,7,0,0
35,49,688,7,0,0
47,42,593,12,59,0
1576,1411,845,12,50,0
196,334,6008,13,110,0
520,62,153,11,0,0
26,152,404,8,19,0
100,117,973,11,51,0
100,102,6156,8,38,0
520,123,182,12,0,0
3,219,94,10,35,0
600,742,3160,9,129,0
164,142,418,6,0,0
28,31,2190,9,69,0
110,86,11534,6,144,0
65,50,695,12,0,0
474,252,692,6,18,0
404,459,4258,11,154,0
138,243,2046,12,0,0
23,7,61,15,0,0
32,112,749,14,0,0
77,171,1495,9,0,0
152,122,1254,7,100,0
20,15,51,7,75,0
59,73,14,13,0,0
14,12,274,8,63,0
149,568,11643,12,68,0
47,31,494,6,0,0
17,10,5,10,0,0
103,399,6729,12,159,0
335,133,1305,10,71,0
141,65,1227,12,26,0
617,290,107,9,0,0
1,0,1,7,0,0
126,115,2988,7,128,0
13,31,20,8,0,0
80,23,203,14,12,0
0,0,5,10,0,0
522,1526,13454,9,53,0
131,63,776,15,27,0
0,13,4,9,0,0
254,3639,8245,11,31,0
17,9,75,14,40,0
245,158,255,15,147,0
55,54,51,10,29,0
5,0,1,9,0,0
132,18,104,13,74,0
146,178,2870,11,63,0
19884,19890,6153,9,130,0
171,150,1889,6,9,0
49,1,4,7,92,0
26,102,235,7,9,0
141,152,2251,13,87,0
15,64,268,15,51,0
178,140,44,8,51,0
250,171,556,7,46,0
23,18,806,7,58,0
264,122,2214,11,73,0
26,28,1153,10,54,0
82,70,596,11,20,0
191,285,3387,12,136,0
299,230,524,15,30,0
134,166,2168,6,72,0
626,391,2818,12,47,0
5,4,17,12,0,0
0,1,40,8,0,0
89,73,298,8,61,0
8,9,19,7,0,0
57,68,91,9,34,0
89,89,1556,5,37,0
30,36,109,6,42,0
1672,1431,2385,13,81,0
6,130,3064,9,0,0
9,78,164,4,37,0
115,314,1042,11,38,0
370,369,307,6,48,0
5,20,490,9,0,0
17,1132,86,14,62,0
330,341,1379,12,132,0
36,43,1212,9,59,0
86,85,5285,6,86,0
62,55,456,15,78,0
125,92,639,12,0,0
65,38,719,8,157,0
66,16,46,6,0,0
3,16,4,11,110,0
0,17,813,14,0,0
273,108,457,10,40,0
19,35,1098,11,63,0
220,235,530,15,132,0
15,15,112,9,0,0
57,52,749,12,29,0
46,90,2269,11,47,0
91,64,142,10,158,0
90,49,898,10,10,0
29,8,6,8,0,0
1128,797,1218,10,0,0
542,20,210,11,0,0
34,52,270,12,0,0
29,22,376,10,101,0
111,26,23,6,152,0
4,1,8,14,0,0
49,35,251,12,57,0
694,1490,5955,13,126,0
538,464,8625,10,50,0
133,104,491,10,14,0
95,74,498,6,0,0
36,18,329,11,0,0
292,123,1165,13,34,0
20,1,1,8,0,0
959,836,1831,15,50,0
298,89,757,15,160,0
75,81,1638,11,0,0
214,311,525,5,0,0
16,41,232,7,38,0
113,103,403,13,97,0
51,43,415,12,18,0
1306,1354,2633,13,36,0
20,7,10,9,0,0
76,83,2086,14,2,0
145,84,231,9,0,0
9,9,13,15,0,0
29,9,38,11,0,0
34,10,41,10,13,0
378,551,4616,11,86,0
82,191,5145,14,17,0
411,562,10784,14,94,0
230,117,2244,10,46,0
7,8,18,6,0,0
623,343,784,10,0,0
73,71,893,6,50,0
69,61,1060,12,0,0
853,864,3275,15,123,0
211,88,486,12,79,0
96,68,1912,8,55,0
36,36,238,8,15,0
109,102,783,8,45,0
19,199,245,11,28,0
77,28,344,11,0,0
23,10,25,9,105,0
259,174,634,10,127,0
14,20,151,6,0,0
580,420,449,14,80,0
654,828,7389,12,155,0
82,60,681,13,48,0
122,32,258,8,97,0
256,571,2245,13,68,0
31,17,59,12,20,0
33,12,189,7,0,0
120,45,9,7,151,0
65,74,788,13,21,0
178,90,1501,8,43,0
1913,1853,596,11,160,0
23,27,904,10,0,0
0,11,713,11,0,0
9,41,1343,15,155,0
593,337,99,12,37,0
161,358,6288,12,79,0
884,805,6690,9,94,0
379,1900,1006,9,136,0
2,4,38,15,15,0
89,61,984,14,37,0
77,312,8386,6,70,0
1582,1232,170,11,75,0
557,1996,12741,10,23,0
32,26,424,13,67,0
35,38,538,7,0,0
112,48,334,11,0,0
327,589,12724,9,49,0
67,37,360,12,21,0
3599,3812,13637,8,118,0
290,206,919,8,118,0
843,1059,8014,7,141,0
197,225,4688,10,0,0
39,22,224,11,126,0
157,188,2435,10,117,0
143,41,160,10,121,0
51,40,23,8,0,0
184,159,2874,10,60,0
270,342,1993,8,51,0
47,26,79,13,0,0
83,162,3742,13,46,0
338,559,8080,6,126,0
347,393,1575,12,67,0
25,13,150,10,138,0
85,48,634,9,63,0
63,174,342,12,37,0
31,16,48,10,0,0
22,21,762,10,0,0
94,104,251,14,25,0
52,108,601,9,23,0
60,80,1715,12,89,0
163,489,1788,11,50,0
1349,637,106,9,66,0
68,56,398,15,10,0
124,90,7933,12,0,0
2,0,4,15,147,0
38,81,911,14,56,0
242,410,1929,6,141,0
12,7,3,9,0,0
40,12,80,15,0,0
125,149,2061,8,34,0
179,110,223,14,151,0
49,32,1614,8,53,0
1920,1712,429,11,69,0
52,68,3396,10,33,0
62,84,87,10,27,0
241,275,6917,8,155,0
28,49,383,6,0,0
61,42,868,5,0,0
260,295,4019,13,44,0
64,287,10198,10,5,0
101,38,206,13,45,0
35,65,2002,7,58,0
229,174,433,13,0,0
70,61,1495,12,17,0
50,12,111,11,32,0
224,112,609,9,19,0
40,39,45,11,0,0
164,102,355,8,0,0
59,17,125,15,24,0
20,5,19,9,26,0
10,24,59,11,94,0
206,222,3202,12,0,0
60,29,1550,13,86,0
39,29,131,15,158,0
4,5,5,7,0,0
57,57,7442,7,0,0
82,44,95,11,131,0
36,19,56,13,0,0
807,271,318,10,87,0
15,19,26,9,0,0
167,168,32620,7,100,0
151,139,3176,7,89,0
53,78,1226,11,48,0
28,2,19,9,0,0
363,937,654,11,28,0
138,84,1328,12,159,0
6,6,492,14,0,0
54,39,150,10,0,0
8,7,256,4,0,0
63,132,548,11,14,0
85,178,1323,10,25,0
517,558,2274,9,160,0
351,510,9184,14,34,0
449,557,7247,7,127,0
220,95,201,13,42,0
106,93,650,11,0,0
21,9,288,8,16,0
944,742,1762,12,62,0
46,3,44,8,0,0
147,142,1688,10,23,0
1,1,7,6,0,0
0,549,15692,12,0,0
157,192,969,15,26,0
153,180,1630,13,42,0
49,21,27,13,90,0
1021,1602,3376,9,156,0
13,8,44,8,26,0
34,25,110,14,13,0
116,111,509,15,61,0
487,358,361,8,74,0
78,69,4302,12,114,0
39,68,2124,15,42,0
52,28,591,6,115,0
152,118,1657,10,0,0
218,236,982,11,84,0
149,157,4069,10,87,0
7,3,4,13,34,0
91,159,1416,12,0,0
82,48,84,8,9,0
31,1041,147,9,0,0
271,344,3053,14,83,0
59,70,918,11,95,0
224,96,1536,12,92,0
62,40,585,11,0,0
60,118,399,14,89,0
77,99,1583,12,0,0
72,83,357,13,0,0
146,153,3574,11,0,0
66,229,432,9,0,0
15,18,269,15,50,0
20574,19954,7786,11,150,0
7,9,8,10,0,0
86,63,1138,13,19,0
62,41,233,14,0,0
694,196,197,15,89,0
26,104,3206,7,9,0
100,184,2887,8,64,0
39,43,1116,10,9,0
155,186,1277,13,47,0
768,602,572,11,160,0
362,80,404,15,159,0
262,319,500,14,11,0
260,307,976,12,52,0
1715,1808,7756,13,156,0
98,110,5854,4,52,0
35,34,178,15,0,0
262,1616,15061,8,103,0
349,186,841,12,88,0
662,195,540,14,146,0
165,116,103,12,23,0
93,135,5725,10,127,0
47,12,20,4,0,0
14,18,82,8,18,0
73,391,528,6,51,0
79,45,200,7,0,0
1735,1615,5919,8,41,0
384,202,7029,12,49,0
86,61,240,6,107,0
34,17,68,10,0,0
49,88,1299,6,15,0
397,261,1055,5,120,0
86,107,3140,7,61,0
12,9,279,9,0,0
126,129,56,15,85,0
97,452208,10245,12,76,0
76,64,179,12,0,0
85,331,3831,13,144,0
340,406,5490,13,50,0
91,275,854,14,145,0
12,27,45,12,0,0
72,105,1742,6,48,0
102,161,1958,15,54,0
514,3293,5753,7,43,0
2001,1770,625,12,37,0
78,69,1958,11,22,0
17,10,191,11,0,0
43,13,21,10,0,0
106,115,1025,8,58,0
0,0,1,11,53,0
46,38,1997,6,0,0
48,46,118,9,85,0
347,246,1029,13,140,0
68,45,141,13,15,0
287,194,699,10,37,0
21,362,14401,14,54,0
737,895,3321,8,56,0
52,435,2100,12,47,0
403,312,1445,4,64,0
34,21,306,14,74,0
346,158,1225,15,160,0
16,11,38,11,34,0
929,921,58400,3,108,0
457,460,6871,12,143,0
41,52,195,12,145,0
27,21,838,11,0,0
26,24,50,12,0,0
388,475,9090,13,154,0
73,94,4592,8,8,0
556,569,4398,10,132,0
275,964,1248,9,54,0
28,95,3030,8,16,0
110,88,530,14,41,0
28,729,1122,15,96,0
225,120,1221,4,159,0
16,21,75,9,0,0
108,46,641,7,42,0
1360,796,5844,6,8,0
1226,549,718,10,40,0
791,324,5956,10,78,0
45,19,1401,9,0,0
337,442,5748,9,140,0
1049,582,1876,13,138,0
82,79,1678,11,44,0
192,267,5426,10,34,0
28,41,369,6,44,0
56,73,894,15,141,0
157,61,63,15,78,0
117,75,483,10,0,0
336,122,541,14,31,0
28,28,244,9,45,0
33,64,122,9,75,0
18,13,51,13,0,0
12,15,22,6,146,0
56,52,926,8,91,0
229,102,4500,12,84,0
714,172,253,14,120,0
137,216,1493,13,84,0
156,365,3750,6,160,0
477,235,1342,10,63,0
72,29,145,8,160,0
90,158,805,8,35,0
445,416,10463,14,122,0
69,87,1420,11,99,0
88,289,1222,12,23,0
